Agency,Stage_of_Rulemaking,Title,RIN,Link
TREAS/IRS,Final Rule Stage,Difference in the Basic Exclusion Amount,1545-BO72,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1545-BO72
TREAS/IRS,Final Rule Stage,Rules Regarding Business Interest Limitation Under Section 163(j),1545-BO73,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1545-BO73
TREAS/IRS,Final Rule Stage,Additional First-Year Depreciation Allowance,1545-BO74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1545-BO74
TREAS/IRS,Final Rule Stage,Arbitrage Investment Restrictions of Tax-Exempt Bonds,1545-BO77,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1545-BO77
TREAS/IRS,Final Rule Stage,Hardship Distributions From 401(k) Plans,1545-BO82,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1545-BO82
TREAS/IRS,Final Rule Stage,Section 864(c)(8) Sales of U.S. Trade or Business Partnership Interests,1545-BO86,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1545-BO86
TREAS/IRS,Final Rule Stage,Application of Section 956 to Certain United States Shareholders,1545-BO88,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1545-BO88
TREAS/IRS,Final Rule Stage,State and Local Tax (SALT) Credits and Charitable Contributions,1545-BO89,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1545-BO89
TREAS/IRS,Final Rule Stage,Guidance Under Section 199A (RIC-REIT),1545-BP12,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1545-BP12
TREAS/IRS,Final Rule Stage,Tax Cuts and Jobs Act (TCJA) Foreign Tax Credit Guidance,1545-BP19,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1545-BP19
TREAS/OCC,Prerule Stage,Fiduciary Capacity; Non-Fiduciary Custody Activities,1557-AE46,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE46
TREAS/OCC,Proposed Rule Stage,Federal Savings Association Employment Contracts; Mutual to Stock Conversions; and Technical Changes to Various OCC Rules,1557-AE21,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE21
TREAS/OCC,Proposed Rule Stage,Management Official Interlocks Asset Thresholds Adjustment,1557-AE22,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE22
TREAS/OCC,Proposed Rule Stage,Rules of Practice and Procedure,1557-AE33,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE33
TREAS/OCC,Proposed Rule Stage,Reforming the Community Reinvestment Act Regulatory Framework,1557-AE34,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE34
TREAS/OCC,Proposed Rule Stage,Heightened Capital Requirements for Investments in Long-Term Debt Instruments Issued by Global Systemically Important Bank Holding Companies and Intermediate Holding Companies,1557-AE38,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE38
TREAS/OCC,Proposed Rule Stage,Other Real Estate Owned,1557-AE50,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE50
TREAS/OCC,Proposed Rule Stage,Proposed Changes to Applicability Thresholds for Regulatory Capital Requirements and Liquidity Requirements,1557-AE56,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE56
TREAS/OCC,Proposed Rule Stage,"Revisions to the Supplemental Leverage Ratio to Exclude Certain Central Bank Deposits of Banking Organizations Predominantly Engaged in Custody, Safekeeping and Asset Servicing Activities",1557-AE60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE60
TREAS/OCC,Proposed Rule Stage,Capital Requirements for Market Risk; Fundamental Review of the Trading Book,1557-AE62,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE62
TREAS/OCC,Proposed Rule Stage,Proposed Liquidity Requirements for the State and Federal Branch and Agency Networks of Foreign Banking Organizations,1557-AE63,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE63
TREAS/OCC,Final Rule Stage,Loans in Areas Having Special Flood Hazards--Private Flood Insurance,1557-AD67,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AD67
TREAS/OCC,Final Rule Stage,Net Stable Funding Ratio,1557-AD97,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AD97
TREAS/OCC,Final Rule Stage,Simplifications to the Capital Rule Pursuant to the Economic Growth and Regulatory Paperwork Reduction Act of 1996,1557-AE10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE10
TREAS/OCC,Final Rule Stage,"Proposed Revisions to Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",1557-AE27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE27
TREAS/OCC,Final Rule Stage,Liquidity Coverage Ratio Rule: Treatment of Certain Municipal Obligations as Level 2B High-Quality Liquid Assets,1557-AE36,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE36
TREAS/OCC,Final Rule Stage,Reduced Reporting for Covered Depository Institutions,1557-AE39,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE39
TREAS/OCC,Final Rule Stage,Capital: Standardized Approach for Counterparty Credit Risk,1557-AE44,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE44
TREAS/OCC,Final Rule Stage,Covered Savings Associations,1557-AE45,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE45
TREAS/OCC,Final Rule Stage,Volcker Community Bank Relief and Removal of Name Restriction,1557-AE47,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE47
TREAS/OCC,Final Rule Stage,Capital: High Volatility Commercial Real Estate Exposure,1557-AE48,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE48
TREAS/OCC,Final Rule Stage,Amendments to the Stress Testing Rules for National Banks and Federal Savings Associations,1557-AE55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE55
TREAS/OCC,Final Rule Stage,Real Estate Appraisals,1557-AE57,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE57
TREAS/OCC,Final Rule Stage,Assessment of Fees,1557-AE58,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE58
TREAS/OCC,Final Rule Stage,Regulatory Capital Rule: Capital Simplification for Qualifying Community Banking Organizations,1557-AE59,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE59
TREAS/OCC,Final Rule Stage,Margin and Capital Requirements for Covered Swap Entities,1557-AE61,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=1557-AE61
VA,Proposed Rule Stage,Center for Innovation for Care and Payment,2900-AQ56,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ56
VA,Proposed Rule Stage,"Committal Services, Memorial Services and Funeral Honors",2900-AQ35,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ35
VA,Proposed Rule Stage,VA Acquisition Regulation: Contractor Qualifications; Acquisition of Utility Services; and Contract Administration and Audit Services,2900-AQ38,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ38
VA,Proposed Rule Stage,Apportionments,2900-AP67,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP67
VA,Proposed Rule Stage,Month-of-Death Payments and Income Exclusion for Property Loss Reimbursement,2900-AP85,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP85
VA,Proposed Rule Stage,Active Service Pay,2900-AP86,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP86
VA,Proposed Rule Stage,Streamlining Annual Rate Publication for VA Educational Benefits,2900-AP99,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP99
VA,Proposed Rule Stage,Family Servicemembers' Group Life Insurance Regulation Update--Member Married to Member,2900-AQ37,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ37
VA,Proposed Rule Stage,"Family Servicemembers' Group Life Insurance, Stillborn Child",2900-AQ49,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ49
VA,Proposed Rule Stage,Submission of Evidence to Establish Dependency,2900-AQ51,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ51
VA,Proposed Rule Stage,Servicemembers' Group Life Insurance--Traumatic Injury Protection Amendment,2900-AQ53,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ53
VA,Proposed Rule Stage,Elimination of On-the-Job Training/Apprenticeship Trainee Certification,2900-AQ61,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ61
VA,Proposed Rule Stage,Schedule for Rating Disabilities: The Cardiovascular System,2900-AQ67,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ67
VA,Proposed Rule Stage,Adaptive Equipment Allowance,2900-AP39,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP39
VA,Proposed Rule Stage,Change in Rates VA Pays for Special Modes of Transportation,2900-AP89,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP89
VA,Proposed Rule Stage,Informed Consent and Advance Directives,2900-AQ16,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ16
VA,Proposed Rule Stage,Automobile Adaptive Equipment Quality and Safety Standards,2900-AQ32,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ32
VA,Proposed Rule Stage,Rental and Utility Assistance for Extremely Low-Income Veteran Families,2900-AQ40,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ40
VA,Proposed Rule Stage,Veterans Community Care Program,2900-AQ46,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ46
VA,Proposed Rule Stage,Program of Comprehensive Assistance for Family Caregivers Amendments Under the VA MISSION Act of 2018,2900-AQ48,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ48
VA,Proposed Rule Stage,Program of Comprehensive Assistance for Family Caregivers Improvements,2900-AQ50,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ50
VA,Proposed Rule Stage,Veterans Healing Veterans Medical Access and Scholarship Program,2900-AQ54,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ54
VA,Proposed Rule Stage,Access to State-Based Prescription Drug Monitoring Programs,2900-AQ57,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ57
VA,Proposed Rule Stage,Health Care Professionals Practicing Via Telehealth,2900-AQ59,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ59
VA,Proposed Rule Stage,Health Professional Scholarship Program,2900-AQ62,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ62
VA,Proposed Rule Stage,Specialty Education Loan Repayment Program,2900-AQ63,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ63
VA,Proposed Rule Stage,Disclosure of Certain Protected Records Without Written Consent,2900-AQ64,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ64
VA,Proposed Rule Stage,Transplant Procedures With Live Donors and Related Care and Services,2900-AQ65,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ65
VA,Final Rule Stage,"Core Values, Characteristics, and Customer Experience Principles of the Department",2900-AQ60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ60
VA,Final Rule Stage,Definition of Unmarked Grave for VA Memorialization Purposes,2900-AQ28,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ28
VA,Final Rule Stage,VA Acquisition Regulation: Acquisition of Commercial Items and Simplified Acquisition Procedures,2900-AP58,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP58
VA,Final Rule Stage,Veterans Employment Pay for Success Grant Program,2900-AP72,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP72
VA,Final Rule Stage,Schedule for Rating Disabilities; Musculoskeletal System and Muscle Injuries,2900-AP88,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP88
VA,Final Rule Stage,VA Vocational Rehabilitation and Employment Nomenclature Change for Position Title--Revision,2900-AQ11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ11
VA,Final Rule Stage,"Schedule for Rating Disabilities: Infectious Diseases, Immune Disorders, and Nutritional Deficiencies",2900-AQ43,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ43
VA,Final Rule Stage,Submission of Evidence to Establish Dependency,2900-AQ52,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ52
VA,Final Rule Stage,Civilian Health and Medical Program of the Department of Veterans Affairs,2900-AP02,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP02
VA,Final Rule Stage,Removing Net Worth Requirement From Health Care Enrollment,2900-AP37,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP37
VA,Final Rule Stage,Prosthetic and Rehabilitative Items and Services,2900-AP46,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP46
VA,Final Rule Stage,VA Homeless Providers Grant and Per Diem Program,2900-AP54,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP54
VA,Final Rule Stage,Approval Criteria for Rates Charged for Community Residential Care,2900-AP63,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP63
VA,Final Rule Stage,Adopting Standards for Laboratory Requirements,2900-AP64,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP64
VA,Final Rule Stage,Consent for Release of VA Medical Records,2900-AP90,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AP90
VA,Final Rule Stage,Reimbursement of Qualifying Adoption Expenses for Certain Veterans,2900-AQ01,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ01
VA,Final Rule Stage,Reimbursement for Emergency Treatment,2900-AQ08,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ08
VA,Final Rule Stage,Case Management Services Grant Program,2900-AQ15,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ15
VA,Final Rule Stage,VHA Appeals Modernization,2900-AQ44,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ44
VA,Final Rule Stage,Veterans Care Agreements,2900-AQ45,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ45
VA,Final Rule Stage,Urgent Care,2900-AQ47,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2900-AQ47
EPA/RODENVER,Proposed Rule Stage,Federal Implementation Plan for Oil and Natural Gas Sources; Uintah and Ouray Indian Reservation in Utah,2008-AA03,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2008-AA03
EPA/OGC,Final Rule Stage,"FOIA Regulations Update, Phase I",2015-AA02,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2015-AA02
EPA/OEI,Proposed Rule Stage,"Environmental Protection Agency Freedom of Information Act Regulations Update, Phase II",2025-AA38,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2025-AA38
EPA/OEI,Proposed Rule Stage,Revisions to the EPA's Privacy Act Regulations for Systems of Records Notices,2025-AA43,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2025-AA43
EPA/OMS,Final Rule Stage,Environmental Protection Agency Acquisition Regulation (EPAAR); Scientific Integrity,2030-AB00,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2030-AB00
EPA/OW,Prerule Stage,Regulatory Determinations for Perfluorooctanoic Acid (PFOA) and Perfluorooctanesulfonic Acid (PFAS),2040-AF93,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF93
EPA/OW,Proposed Rule Stage,Federal Aluminum Aquatic Life Criteria Applicable to Oregon,2040-AF70,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF70
EPA/OW,Proposed Rule Stage,Effluent Limitations Guidelines and Standards for the Steam Electric Power Generating Point Source Category,2040-AF77,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF77
EPA/OW,Proposed Rule Stage,Updates to eReporting Rule Data Elements to Reflect MS4 General Permit Remand Rule,2040-AF78,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF78
EPA/OW,Proposed Rule Stage,Peak Flows Management,2040-AF81,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF81
EPA/OW,Proposed Rule Stage,Clean Water Act 404 Assumption Update Regulation,2040-AF83,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF83
EPA/OW,Proposed Rule Stage,Clean Water Act Methods Update Rule for the Analysis of Effluent,2040-AF84,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF84
EPA/OW,Proposed Rule Stage,Clarification of State Certification Procedures Under Section 401 of the Clean Water Act,2040-AF86,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF86
EPA/OW,Proposed Rule Stage,Clean Water Act Section 404(c) Regulatory Revision,2040-AF88,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF88
EPA/OW,Proposed Rule Stage,Compensatory Mitigation for Losses of Aquatic Resources--Review and Approval of Mitigation Banks and In-Lieu Fee Programs,2040-AF90,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF90
EPA/OW,Proposed Rule Stage,Vessel Incidental Discharge Act of 2018--Development of National Performance Standards for Marine Pollution Control Devices for Discharges Incidental to the Normal Operation of Commercial Vessels.,2040-AF92,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF92
EPA/OW,Proposed Rule Stage,Withdrawal of Certain Federal Water Quality Criteria Applicable to Washington,2040-AF94,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF94
EPA/OW,Proposed Rule Stage,National Primary Drinking Water Regulations for Lead and Copper: Regulatory Revisions,2040-AF15,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF15
EPA/OW,Proposed Rule Stage,National Primary Drinking Water Regulations: Regulation of Perchlorate,2040-AF28,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF28
EPA/OW,Final Rule Stage,Uniform National Discharge Standards for Vessels of the Armed Forces--Phase II--Batch Two (UNDS),2040-AF53,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF53
EPA/OW,Final Rule Stage,"Definition of ""Waters of the United States"" - Recodification of Preexisting Rule",2040-AF74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF74
EPA/OW,Final Rule Stage,Revised Definition of 'Waters of the United States',2040-AF75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF75
EPA/OW,Final Rule Stage,Technical Corrections to Ocean Dumping Regulations and Designated Ocean Disposal Sites,2040-AF91,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF91
EPA/OW,Final Rule Stage,"Use of Lead Free Pipes, Fittings, Fixtures, Solder and Flux for Drinking Water",2040-AF55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2040-AF55
EPA/OLEM,Prerule Stage,Municipal Solid Waste Landfill Liquids Management Regulations Under RCRA Subtitle D,2050-AG86,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AG86
EPA/OLEM,Proposed Rule Stage,Rulemaking for Alternate Extraction Methods for PCBs,2050-AH08,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AH08
EPA/OLEM,Proposed Rule Stage,Modernizing Ignitable Liquids Determinations,2050-AG93,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AG93
EPA/OLEM,Proposed Rule Stage,Hazardous and Solid Waste Management System: Disposal of Coal Combustion Residues From Electric Utilities: Amendments to the National Minimum Criteria (Phase 2),2050-AG98,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AG98
EPA/OLEM,Proposed Rule Stage,Federal Coal Combustion Residuals Permitting Program,2050-AH07,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AH07
EPA/OLEM,Proposed Rule Stage,Hazardous and Solid Waste Management System: Disposal of Coal Combustion Residuals from Electric Utilities; Revision of Cease Receipt of Waste Deadline for CCR Surface Impoundments; Response to Court,2050-AH10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AH10
EPA/OLEM,Proposed Rule Stage,Hazardous and Solid Waste Management System; Disposal of CCR; Alternative Demonstration for Unlined Surface Impoundments/ Request for Comment on Legacy Units; Response to Court Part B,2050-AH11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AH11
EPA/OLEM,Proposed Rule Stage,"Financial Responsibility Requirements Under CERCLA Section 108(b) for the Electric Power Generation, Transmission, and Distribution Industry",2050-AH03,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AH03
EPA/OLEM,Proposed Rule Stage,Financial Responsibility Requirements Under CERCLA Section 108(b) for the Chemical Manufacturing Industry,2050-AH05,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AH05
EPA/OLEM,Proposed Rule Stage,Financial Responsibility Requirements Under CERCLA Section 108(b) for the Petroleum and Coal Products Manufacturing Industry,2050-AH06,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AH06
EPA/OLEM,Proposed Rule Stage,Listing Per- and Polyfluoroalkyl Substances (PFAS) as a CERCLA Hazardous Substance,2050-AH09,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AH09
EPA/OLEM,Final Rule Stage,Accidental Release Prevention Requirements: Risk Management Programs Under the Clean Air Act; Reconsideration of Amendments,2050-AG95,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AG95
EPA/OLEM,Final Rule Stage,Exemption for Air Emissions From Animal Waste at Farms From the Emergency Release Notification Requirements; Emergency Planning and Community Right-to-Know Act,2050-AH00,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AH00
EPA/OLEM,Final Rule Stage,Increasing Recycling: Adding Aerosol Cans to the Universal Waste Regulations,2050-AG92,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AG92
EPA/OLEM,Final Rule Stage,Facilitating Safe Management of Recalled Airbags,2050-AH02,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AH02
EPA/OLEM,Final Rule Stage,Clean Water Act Hazardous Substances Spill Prevention,2050-AG87,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2050-AG87
EPA/OAR,Prerule Stage,Section 610 Review of Renewable Fuels Standard Program,2060-AU44,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AU44
EPA/OAR,Proposed Rule Stage,Reclassification of Major Sources as Area Sources Under Section 112 of the Clean Air Act,2060-AM75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AM75
EPA/OAR,Proposed Rule Stage,Plywood and Composite Wood Products (PCWP) Residual Risk and Technology Review and Amendments,2060-AO66,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AO66
EPA/OAR,Proposed Rule Stage,Protection of the Stratospheric Ozone: Motor Vehicle Air Conditioning System Servicing,2060-AO75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AO75
EPA/OAR,Proposed Rule Stage,National Emission Standards for Hazardous Air Pollutants: Polyvinyl Chloride and Copolymers Reconsideration,2060-AR73,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AR73
EPA/OAR,Proposed Rule Stage,National Emission Standards for Hazardous Air Pollutants Risk and Technology Review Reconsideration: Oil and Natural Gas Sector,2060-AS13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AS13
EPA/OAR,Proposed Rule Stage,Review of the National Ambient Air Quality Standards for Particulate Matter,2060-AS50,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AS50
EPA/OAR,Proposed Rule Stage,General Revisions to Emissions Monitoring and Reporting Requirements for Fossil Fuel-Fired Electric Generating Units,2060-AS74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AS74
EPA/OAR,Proposed Rule Stage,National Emission Standards for Hazardous Air Pollutants: Stationary Combustion Turbine Residual Risk and Technology Review,2060-AT00,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AT00
EPA/OAR,Proposed Rule Stage,National Emission Standards for Hazardous Air Pollutants: Engine Test Cells/Stands Residual Risk and Technology Review,2060-AT01,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AT01
EPA/OAR,Proposed Rule Stage,National Emission Standards for Hazardous Air Pollutants: Generic Maximum Achievable Control Technology Standards Residual Risk and Technology Review for Ethylene Production,2060-AT02,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AT02
EPA/OAR,Proposed Rule Stage,National Emission Standards for Hazardous Air Pollutants: Integrated Iron and Steel Manufacturing Facilities,2060-AT03,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AT03
EPA/OAR,Proposed Rule Stage,National Emission Standards for Hazardous Air Pollutants: Taconite Iron Ore Processing Residual Risk and Technology Review,2060-AT05,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AT05
EPA/OAR,Proposed Rule Stage,National Emission Standards for Hazardous Air Pollutants: Rubber Tire Manufacturing Risk and Technology Review,2060-AT07,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AT07
EPA/OAR,Proposed Rule Stage,Lime Manufacturing Risk and Technology Review,2060-AT08,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AT08
EPA/OAR,Proposed Rule Stage,National Emission Standard for Hazardous Air Pollutants: Boat Manufacturing and Reinforced Plastic Composites Production Residual Risk and Technology Review,2060-AT12,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201904&RIN=2060-AT12
